Time（min）,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,Enoxaparine 4 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 1 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 3 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,RBD4059 9 mg/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.991,0.993,0.994,1.022,0.986,0.976,0.988,0.988,1.018,0.992,1.016,1,0.943,0.968,1.019,1.003,0.956,1.015,0.997,1.021,1.042,0.997,0.979,0.985,1.014,0.988,0.999,1,1.01,1.081,1.004,0.99,1.033,1.007,1.016,0.917,1.025,1.001,1.007,1.029,1.129,1.036,0.976,0.978,1.004,0.995,1.02,0.989,0.999,1.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.964,0.987,0.962,1.036,0.974,0.929,0.973,1.02,1.006,0.865,1.038,1.017,0.915,0.95,1.035,1.003,0.944,1.033,1.037,1.026,1.089,0.99,0.975,1.007,0.999,0.977,0.982,0.997,1.064,1.101,1.003,0.957,1.035,1.001,1.044,0.871,1.034,0.989,1.019,1.046,1.256,0.988,0.965,0.952,1.014,0.98,1.03,0.98,1.012,1.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.895,0.955,0.824,0.968,0.96,0.804,0.94,1.059,0.916,0.274,1.05,1.039,0.904,0.944,1.035,0.92,0.904,1.05,1.043,1.04,1.079,0.969,0.977,1.132,0.843,0.929,1.015,1.009,1.062,1.125,0.995,0.895,1.04,1.025,1.041,0.893,1.004,0.952,1.021,1.069,1.327,0.953,0.964,0.921,1.009,0.972,1.035,0.95,1.028,1.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.743,0.872,0.291,0.91,0.848,0.435,0.906,1.037,0.775,-0.017,1.061,1.049,0.844,0.929,1.049,0.569,0.658,1.06,0.908,1.059,1.037,0.943,0.974,1.209,0.454,0.818,0.925,1.017,1.025,1.176,1.006,0.924,1.021,1.027,1.019,0.926,0.991,0.695,1.031,1.081,1.355,0.963,0.941,0.901,1.027,0.967,1.019,0.961,0.991,1.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.577,0.585,0.033,0.416,0.226,0.048,0.731,0.905,0.766,-0.018,1.07,1.062,0.644,0.751,1.049,0.081,0.208,1.054,0.277,1.064,1.1,0.88,0.949,0.577,0.015,0.499,0.815,0.957,0.716,1.174,0.998,0.894,0.978,1.017,1,0.738,0.857,0.475,1.021,1.033,1.378,0.942,0.947,0.9,1.049,0.965,0.833,0.937,0.978,1.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.735,0.074,0.033,-0.059,-0.12,0,0.508,0.461,0.776,-0.015,1.04,1.082,0.292,0.291,1.023,0.03,0.006,1.079,0.023,1.039,1.05,0.712,0.938,0.685,-0.033,0.687,0.404,0.774,0.292,0.958,1.008,0.832,0.814,0.679,0.983,0.668,0.623,0.443,1.031,1.015,1.399,0.946,0.934,0.915,1.049,0.97,0.356,0.948,0.79,1.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.665,0.014,0.039,-0.073,-0.131,0.001,0.227,0.04,0.8,-0.009,0.943,1.089,0.049,0.004,0.986,0.029,-0.011,1.09,0.019,0.997,1.026,0.361,0.938,0.268,-0.006,0.722,0.228,0.365,0.03,1.127,0.992,0.811,0.232,0.158,0.957,0.887,0.16,0.458,1.03,0.89,1.406,1.129,0.871,0.914,1.042,0.971,0.002,0.979,0.462,1.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.543,0.003,0.045,-0.057,-0.122,-0.003,0.075,-0.003,0.833,-0.004,0.745,1.108,0.049,-0.006,0.912,0.03,-0.012,1.108,-0.007,0.917,0.842,0.097,0.887,-0.006,0.001,0.831,0.04,0.036,0.02,1.111,0.973,0.774,0.032,0.027,0.925,0.989,0.001,0.635,1.03,0.579,1.391,1.172,0.736,0.905,0.996,0.972,-0.022,0.942,0.035,1.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.423,0.001,0.042,-0.042,-0.115,-0.01,0.08,-0.016,0.898,0.004,0.486,1.11,0.051,-0.029,0.829,0.035,-0.015,1.112,0.356,0.768,0.602,0.054,0.806,-0.011,0.003,0.483,0.048,0.031,0.016,1.059,0.971,0.693,0.032,0.032,0.886,0.643,0.002,0.534,1.032,0.204,1.36,1.196,0.873,0.903,1.056,0.959,-0.033,1.031,0.103,1.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.17,-0.007,0.037,-0.041,-0.121,-0.015,0.086,-0.015,1.029,0.015,0.124,1.126,0.05,-0.045,0.776,0.046,-0.025,1.09,0.364,0.49,0.706,0.046,0.698,-0.013,0.007,0.086,0.073,0.03,0.009,0.992,0.97,0.613,0.035,0.024,0.831,0.058,0.004,0.345,1.016,0.154,1.357,1.216,0.65,0.9,1.067,0.969,-0.017,1.011,0.158,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.035,-0.018,0.047,-0.037,-0.119,-0.009,0.094,-0.016,1.054,0.027,0.004,1.133,0.054,-0.053,0.712,0.054,-0.033,1.011,0.363,0.23,0.828,0.042,0.653,-0.005,0.013,-0.009,0.042,0.028,0.007,0.774,0.958,0.613,0.036,0.03,0.761,0.349,0.003,0.141,1.006,0.158,1.362,1.245,0.186,0.902,1.056,0.972,0.109,1.01,0.168,1.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036,-0.019,0.051,-0.035,-0.116,0.005,0.096,-0.018,1.076,0.015,-0.001,1.143,0.061,-0.061,0.681,0.053,-0.037,0.853,0.358,0.169,0.936,0.064,0.645,-0.003,0.026,0.002,0.072,0.028,0.008,0.342,0.949,0.664,0.034,0.03,0.692,0.02,0.011,0.109,0.993,0.166,1.379,1.27,0.056,0.902,1.067,0.986,0.411,1.004,0.164,1.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.28,-0.017,0.047,-0.04,-0.116,0.007,0.112,-0.021,1.056,0.015,0.002,1.15,0.085,-0.063,0.705,0.047,-0.041,0.951,0.339,0.188,0.924,0.057,0.672,-0.007,0.031,0.006,0.109,0.026,0.008,0.046,0.921,0.691,0.037,0.027,0.621,-0.073,0.013,0.106,0.985,0.169,1.399,1.27,0.058,0.911,1.078,0.988,0.573,1.011,0.168,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.471,-0.013,0.041,-0.029,-0.119,0.008,0.114,-0.022,1.008,0.011,-0.003,1.163,0.218,-0.061,0.783,0.04,-0.04,0.975,0.323,0.294,0.934,0.051,0.656,-0.014,0.039,0.01,0.116,0.045,0.019,-0.039,0.912,0.712,0.032,0.026,0.555,-0.063,0.398,0.086,0.98,0.168,1.422,1.3,0.058,0.916,1.1,0.997,0.216,1.014,0.126,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.221,-0.01,0.036,-0.025,-0.114,0.008,0.098,-0.022,0.478,0.01,-0.01,1.159,0.207,-0.058,0.854,0.035,-0.035,1.111,0.31,0.452,0.917,0.05,0.652,-0.013,0.046,0.014,0.122,0.044,0.031,-0.048,0.907,0.732,0.029,0.027,0.478,-0.05,0.375,0.075,0.969,0.171,1.437,1.337,0.056,0.926,1.125,1.001,0.068,1.022,-0.046,1.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.469,-0.009,0.032,-0.023,-0.11,0.015,0.061,-0.026,0.317,0.004,-0.014,1.164,0.067,-0.059,0.876,0.048,-0.032,1.138,0.306,0.451,0.988,0.071,0.573,-0.004,0.054,0.031,0.12,0.031,0.03,-0.058,0.895,0.839,0.029,0.026,0.565,-0.039,0.055,0.049,0.957,0.172,1.438,1.351,0.053,0.936,1.112,1.033,0.082,1.022,-0.05,1.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.322,-0.009,0.032,-0.021,-0.111,0.014,0.066,-0.016,0.225,-0.006,-0.02,1.157,0.06,-0.052,0.904,0.03,-0.035,1.15,0.309,0.292,1.123,0.093,0.513,-0.005,0.066,0.037,0.111,0.039,0.023,-0.054,0.881,0.794,0.007,0.025,0.659,-0.034,0.008,0.149,0.962,0.184,1.429,1.337,0.048,0.928,1.094,1.044,0.098,1.096,-0.055,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.107,-0.009,0.04,-0.023,-0.113,0.018,0.082,-0.026,0.035,-0.014,-0.024,1.161,0.063,-0.047,0.939,0.016,-0.035,1.151,0.322,0.169,1.121,0.106,0.62,-0.005,0.072,-0.003,0.126,0.042,0.014,-0.054,0.869,0.761,0.007,0.021,0.741,0.008,0.983,0.256,0.957,0.168,1.422,1.332,0.047,0.94,1.091,1.05,0.114,1.118,-0.053,1.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.039,-0.002,0.034,-0.022,-0.104,0.02,0.081,-0.004,0.03,-0.027,-0.026,1.157,0.062,-0.044,0.415,0.008,-0.033,1.167,0.33,0.097,1.123,0.118,0.643,-0.005,0.078,-0.01,0.147,0.037,0.009,-0.059,0.887,0.739,0.009,0.019,0.772,0.217,0.359,0.233,0.987,0.179,1.413,1.337,0.051,0.945,1.09,1.058,0.121,1.101,-0.054,1.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.036,0.005,0.024,-0.017,-0.089,0.022,0.061,0.012,0.025,-0.039,-0.024,1.154,0.06,-0.039,-0.039,0.006,-0.026,1.157,0.337,0.667,1.142,0.129,0.447,-0.006,0.085,-0.013,0.11,0.03,0.007,0.009,0.858,0.736,0.011,0.023,0.769,0.72,0.001,0.421,0.972,0.195,1.409,1.342,0.036,0.957,1.067,1.085,0.101,1.111,-0.053,1.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.076,0.008,0.021,-0.019,-0.087,0.024,0.037,0.017,0.026,-0.056,-0.019,1.14,0.058,-0.041,-0.026,0.006,-0.026,1.154,0.318,0.698,1.161,0.118,0.241,-0.009,0.088,-0.013,0.071,0.027,0.004,0,0.867,0.731,0.011,0.023,0.77,0.08,-0.024,0.55,0.898,0.154,1.409,1.35,0.034,0.957,1.063,1.087,0.056,0.963,-0.053,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.155,0.013,0.02,-0.019,-0.083,0.027,0.023,0.014,0.022,-0.059,-0.018,1.146,0.056,-0.035,-0.018,0.008,-0.028,1.168,0.315,0.805,1.1,0.101,0.216,-0.008,0.085,-0.022,0.04,0.027,0.003,-0.043,0.876,0.709,0.015,0.022,0.771,-0.015,-0.031,0.291,0.911,0.115,1.418,1.365,0.031,0.961,1.055,1.105,0.117,0.915,-0.058,1.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.195,0.016,0.026,-0.02,-0.076,0.027,0.01,0.02,0.024,-0.055,-0.018,1.161,0.048,-0.017,-0.012,0.008,-0.03,1.185,0.312,1.1,0.878,0.08,0.028,-0.016,0.084,-0.029,0.037,0.028,0.003,-0.071,0.826,0.687,0.011,0.023,0.774,-0.011,-0.033,0.024,0.909,0.111,1.424,1.375,0.032,0.964,1.057,1.117,0.183,0.949,-0.058,1.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.215,0.018,0.03,-0.018,-0.083,0.029,0.014,0.02,0.022,-0.055,-0.018,1.173,0.046,-0.003,-0.016,0.011,-0.034,1.165,0.314,1.155,0.731,0.056,0.024,-0.018,0.084,-0.029,0.038,0.036,0.007,-0.08,0.761,0.677,0.009,0.023,0.779,-0.014,0.01,0.012,0.882,0.098,1.411,1.4,0.033,0.966,1.07,1.124,0.179,0.913,-0.052,1.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,